id,created_at,source,favorite_count,retweet_count,text
1343328283824447488,2020-12-27 22:49:55+00:00,Twitter for iPhone,150661,23934,"On behalf of two GREAT Senators, @sendavidperdue &amp; @KLoeffler, I will be going to Georgia on Monday night, January 4th., to have a big and wonderful RALLY. So important for our Country that they win!"
1343069190433943564,2020-12-27 05:40:22+00:00,Twitter for iPhone,130995,33845,A must see! https://t.co/WbLDGpaHJX
1343068648118874113,2020-12-27 05:38:13+00:00,Twitter for iPhone,133868,23487,"Increase payments to the people, get rid of the “pork”. https://t.co/jq82qFIyUs"
1343068273827577861,2020-12-27 05:36:44+00:00,Twitter for iPhone,105480,20282,Speaking for America! https://t.co/jowS1B9qqf
1343066231222448130,2020-12-27 05:28:37+00:00,Twitter for iPhone,82436,18940,"Michigan AG Dana Nessel Pursues Sanctions Against Lawyers Questioning Election https://t.co/Hb5xckedoN via @BreitbartNews  These lawyers are true patriots who are fighting for the truth and, obviously, getting very close. AG should be sanctioned. Fight on!"
1343027900740734976,2020-12-27 02:56:18+00:00,Twitter for iPhone,284981,39248,"$2000 + $2000 plus other family members. Not $600. Remember, it was China’s fault!"
1342974377218994181,2020-12-26 23:23:37+00:00,Twitter for iPhone,153113,26945,"....But when it is all over, and this period of time becomes just another ugly chapter in our Country’s history, WE WILL WIN!!!"
1342974375008600070,2020-12-26 23:23:36+00:00,Twitter for iPhone,125442,21964,"....Courts are bad, the FBI and “Justice” didn’t do their job, and the United States Election System looks like that of a third world country. Freedom of the press has been gone for a long time, it is Fake News, and now we have Big Tech (with Section 230) to deal with...."
1342974373632876545,2020-12-26 23:23:36+00:00,Twitter for iPhone,42211,10210,"....fake signatures, illegal immigrant voters, banned Republican vote watchers, MORE VOTES THAN ACTUAL VOTERS (check out Detroit &amp; Philadelphia), and much more. The numbers are far greater than what is necessary to win the individual swing states, and cannot even be contested...."
1342974370822692867,2020-12-26 23:23:35+00:00,Twitter for iPhone,196028,41780,"Time for Republican Senators to step up and fight for the Presidency, like the Democrats would do if they had actually won. The proof is irrefutable! Massive late night mail-in ballot drops in swing states, stuffing the ballot boxes (on video), double voters, dead voters,"
1342908782934958081,2020-12-26 19:02:58+00:00,Twitter for iPhone,244016,45356,"The lockdowns in Democrat run states are absolutely ruining the lives of so many people - Far more than the damage that would be caused by the China Virus. Cases in California have risen despite the lockdown, yet Florida &amp; others are open &amp; doing well. Common sense please!"
1342872502306009089,2020-12-26 16:38:48+00:00,Twitter for iPhone,103808,17881,Thank you Mark. Big numbers found in Arizona.We must win for our Country! https://t.co/I6UXM3cz42
1342835233306124288,2020-12-26 14:10:42+00:00,Twitter for iPhone,289481,41244,"I simply want to get our great people $2000, rather than the measly $600 that is now in the bill. Also, stop the billions of dollars in “pork”."
1342832582606598144,2020-12-26 14:00:10+00:00,Twitter for iPhone,170874,31750,"A young military man working in Afghanistan told me that elections in Afghanistan are far more secure and much better run than the USA’s 2020 Election. Ours, with its millions and millions of corrupt Mail-In Ballots, was the election of a third world country. Fake President!"
1342830505163706369,2020-12-26 13:51:55+00:00,Twitter for iPhone,178433,37123,"The U.S. Supreme Court has been totally incompetent and weak on the massive Election Fraud that took place in the 2020 Presidential Election. We have absolute PROOF, but they don’t want to see it - No “standing”, they say. If we have corrupt elections, we have no country!"
1342826019745640450,2020-12-26 13:34:06+00:00,Twitter for iPhone,140503,30350,"Where the hell is the Durham Report? They spied on my campaign, colluded with Russia (and others), and got caught. Read the Horowitz Reports about Comey &amp; McCabe. Even the Fake News @nytimes said “bad”. They tried it all, and failed, so now they are trying to steal the election!"
1342821189077622792,2020-12-26 13:14:54+00:00,Twitter for iPhone,164466,35772,"The “Justice” Department and the FBI have done nothing about the 2020 Presidential Election Voter Fraud, the biggest SCAM in our nation’s history, despite overwhelming evidence. They should be ashamed. History will remember. Never give up. See everyone in D.C. on January 6th."
1342817496924086278,2020-12-26 13:00:14+00:00,Twitter for iPhone,156371,32190,"If a Democrat Presidential Candidate had an Election Rigged &amp; Stolen, with proof of such acts at a level never seen before, the Democrat Senators would consider it an act of war, and fight to the death. Mitch &amp; the Republicans do NOTHING, just want to let it pass. NO FIGHT!"
1342813418177392649,2020-12-26 12:44:01+00:00,Twitter for iPhone,97532,20048,"I will not stand by and watch this travesty of a bill happen without reigning in Big Tech. End Section 230 now, before it is too late. So bad for our Country. Show courage, and do what’s right!!! https://t.co/V99lShpLCe"
1342807171130601473,2020-12-26 12:19:12+00:00,Twitter for iPhone,80584,15544,"Our $740 defense bill is a gift to China, Russia &amp; Big Tech. It fails to terminate the internationally dangerous Section 230, won’t allow us to bring our troops back home (where they belong), renames &amp; destroys our forts &amp; National Monuments, &amp; makes 5G almost impossible! https://t.co/txJle9Ezlg"
1342624069687062528,2020-12-26 00:11:37+00:00,Twitter for iPhone,119332,20721,"But we already know enough, and we won big! https://t.co/hGWnz6R8Vd"
1342559171649167366,2020-12-25 19:53:44+00:00,Twitter for iPhone,143001,20445,Thank you! https://t.co/579bfpa4TD
1342556287872233474,2020-12-25 19:42:17+00:00,Twitter for iPhone,193275,24725,Going now to make a short speech to service members from all over the world. It is a celebration of Christmas. Video Conference - Fake News not invited!
1342555377951510528,2020-12-25 19:38:40+00:00,Twitter for iPhone,83208,12048,The greatest of all time. Fake News! https://t.co/jiWjLrynQW
1342554825465196544,2020-12-25 19:36:28+00:00,Twitter for iPhone,206543,30894,"Made many calls and had meetings at Trump International in Palm Beach, Florida. Why would politicians not want to give people $2000, rather than only $600? It wasn’t their fault, it was China. Give our people the money!"
1342463237841948672,2020-12-25 13:32:32+00:00,Twitter for iPhone,633234,65356,MERRY CHRISTMAS!
1342245390540804096,2020-12-24 23:06:53+00:00,Twitter for iPhone,220941,41217,"I saved at least 8 Republican Senators, including Mitch, from losing in the last Rigged (for President) Election. Now they (almost all) sit back and watch me fight against a crooked and vicious foe, the Radical Left Democrats. I will NEVER FORGET!"
1342243632833814528,2020-12-24 22:59:54+00:00,Twitter for iPhone,228410,47909,"Twitter is going wild with their flags, trying hard to suppress even the truth. Just shows how dangerous they are, purposely stifling free speech. Very dangerous for our Country. Does Congress know that this is how Communism starts? Cancel Culture at its worst. End Section 230!"
1342212651447967744,2020-12-24 20:56:47+00:00,Twitter for iPhone,335831,61287,"VOTER FRAUD IS NOT A CONSPIRACY THEORY, IT IS A FACT!!!"
1342212340436135938,2020-12-24 20:55:33+00:00,Twitter for iPhone,86249,16474,"Maria’s show and ratings are better than ever. They are trying to shame her into not telling the truth. Her audience would be gone, and she is far too smart for that. Rigged Election! https://t.co/g3AyaOx3dv"
1342209260026023940,2020-12-24 20:43:19+00:00,Twitter for iPhone,138283,25371,"At a meeting in Florida today, everyone was asking why aren’t the Republicans up in arms &amp; fighting over the fact that the Democrats stole the rigged presidential election? Especially in the Senate, they said, where you helped 8 Senators win their races. How quickly they forget!"
1342206148649299969,2020-12-24 20:30:57+00:00,Twitter for iPhone,146139,16947,"More than one million Americans have already received the China Virus Vaccine, a record pace!"
1342202964904181762,2020-12-24 20:18:18+00:00,Twitter for iPhone,195268,34423,https://t.co/ZrehVYMARl
1342184240088276992,2020-12-24 19:03:54+00:00,Twitter for iPhone,102555,14340,Rush is the GREATEST! https://t.co/W0LhbM2bSt
1342100887137873922,2020-12-24 13:32:41+00:00,Twitter for iPhone,113695,28849,https://t.co/KHMgb78b5c
1342098544547794944,2020-12-24 13:23:22+00:00,Twitter for iPhone,152946,32237,https://t.co/GgwnkrGz9U
1341948764068704256,2020-12-24 03:28:12+00:00,Twitter for iPhone,166654,58337,https://t.co/L3tOUDiT0G
1341948611131822083,2020-12-24 03:27:35+00:00,Twitter for iPhone,181131,62634,https://t.co/zPh2ddB38K
1341885394124607488,2020-12-23 23:16:23+00:00,Twitter for iPhone,220380,47311,"After seeing the massive Voter Fraud in the 2020 Presidential Election, I disagree with anyone that thinks a strong, fast, and fair Special Counsel is not needed, IMMEDIATELY. This was the most corrupt election in the history of our Country, and it must be closely examined!"
1341862955604975617,2020-12-23 21:47:13+00:00,Twitter for iPhone,203486,32851,"...Some friendly health advice to Iran: If one American is killed, I will hold Iran responsible. Think it over."
1341862953637822468,2020-12-23 21:47:13+00:00,Twitter for iPhone,161797,34296,Our embassy in Baghdad got hit Sunday by several rockets. Three rockets failed to launch. Guess where they were from: IRAN. Now we hear chatter of additional attacks against Americans in Iraq... https://t.co/0OCL6IFp5M
1341792832093364226,2020-12-23 17:08:35+00:00,Twitter for iPhone,195418,39153,They are slow walking the signature verification in Georgia. They don’t want results to get out prior to January 6th. They know what they are trying so hard to hide. Terrible people! @BrianKempGA
1341565405509394440,2020-12-23 02:04:52+00:00,Twitter Media Studio,179896,47572,"Statement by Donald J. Trump, The President of the United States

Full Video: https://t.co/avKfYctPAD https://t.co/i8IMLhH53Q"
1341553610996543494,2020-12-23 01:18:00+00:00,Twitter for iPhone,91191,19970,"“@NewtGingrich Pens Op-Ed on Election Saying he will not Accept Joe Biden as President” @OANN  Newt Gingrich gets it, we are going to WIN! https://t.co/PBHZo2LLNu https://t.co/uG2HjCEo9G"
1341551177146757121,2020-12-23 01:08:20+00:00,Twitter for iPhone,103222,30263,https://t.co/WtIQLiq65y
1341547750710800385,2020-12-23 00:54:43+00:00,Twitter for iPhone,146304,24835,"Republicans in the Senate so quickly forget. Right now they would be down 8 seats without my backing them in the last Election. RINO John Thune, “Mitch’s boy”, should just let it play out. South Dakota doesn’t like weakness. He will be primaried in 2022, political career over!!!"
1341537886315950080,2020-12-23 00:15:31+00:00,Twitter Media Studio,406563,102686,https://t.co/v9Rdjz6DNu
1341405487057821698,2020-12-22 15:29:24+00:00,Twitter for iPhone,274780,50751,THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!
